yatstats overall rank everybody,hsid,hsname,hsname.1,location,city,regionname,nickname,alumni listed,Drafted from School,Total Draft Picks,Major Leaguers,Active Players 2024-2025
7429,8771,South Tahoe,South Tahoe,"South Lake Tahoe,CA","South Lake Tahoe,CA",California,Vikings,9,0,3,0,2
7430,1481,Abbeville,Abbeville,"Abbeville,SC","Abbeville,SC",South Carolina,Panthers,9,2,2,0,2
7431,14378,Lovejoy,Lovejoy,"Hampton,GA","Hampton,GA",Georgia,Wildcats,9,2,2,0,2
7432,12521,Palmetto Ridge,Palmetto Ridge,"Naples,FL","Naples,FL",Florida,Bears,9,2,2,0,2
7433,9098,Pasadena Memorial,Pasadena Memorial,"Pasadena,TX","Pasadena,TX",Texas,Mavericks,9,2,2,0,2
7434,7571,South Williamsport Area,South Williamsport Area,"South Williamsport,PA","South Williamsport,PA",Pennsylvania,Mountaineers,9,2,2,0,2
7435,8554,Windsor Locks,Windsor Locks,"Windsor Locks,CT","Windsor Locks,CT",Connecticut,Raiders,9,2,2,0,2
7436,3653,Carter,Carter,"Rialto,CA","Rialto,CA",California,Lions,9,1,2,0,2
7437,3859,Chatham,Chatham,"Chatham,NY","Chatham,NY",New York,Panthers,9,1,2,0,2
7438,4368,East,East,"Des Moines,IA","Des Moines,IA",Iowa,Scarlets,9,1,2,0,2
7439,4604,Fergus Falls,Fergus Falls,"Fergus Falls,MN","Fergus Falls,MN",Minnesota,Otters,9,1,2,0,2
7440,11696,Greenwood Community,Greenwood Community,"Greenwood,IN","Greenwood,IN",Indiana,Woodmen,9,1,2,0,2
7441,10633,Arlington Catholic,Arlington Catholic,"Arlington,MA","Arlington,MA",Massachusetts,Cougars,9,0,2,0,2
7442,13269,North Crowley,North Crowley,"Fort Worth,TX","Fort Worth,TX",Texas,Panthers,9,0,2,0,2
7443,3536,Burley,Burley,"Burley,ID","Burley,ID",Idaho,Bobcats,9,1,1,0,2
7444,3544,Burrell,Burrell,"Lower Burrell,PA","Lower Burrell,PA",Pennsylvania,Bucs,9,1,1,0,2
7445,5303,Indian Hill,Indian Hill,"Cincinnati,OH","Cincinnati,OH",Ohio,Braves,9,1,1,0,2
7446,403,Indianola Academy,Indianola Academy,"Indianola,MS","Indianola,MS",Mississippi,Colonels,9,1,1,0,2
7447,1517,Lenoir City,Lenoir City,"Lenoir City,TN","Lenoir City,TN",Tennessee,Panthers,9,1,1,0,2
7448,6716,Oregon,Oregon,"Oregon,WI","Oregon,WI",Wisconsin,Panthers,9,1,1,0,2
7449,9517,Pitman,Pitman,"Pitman,NJ","Pitman,NJ",New Jersey,Panthers,9,1,1,0,2
7450,14654,TF Riggs,TF Riggs,"Pierre,SD","Pierre,SD",South Dakota,-,9,1,1,0,2
7451,9083,Bishop McCort,Bishop McCort,"Johnstown,PA","Johnstown,PA",Pennsylvania,Crushers,9,0,1,0,2
7452,10079,Merrillville,Merrillville,"Merrillville,IN","Merrillville,IN",Indiana,Pirates,9,0,1,0,2
7453,11030,Colchester,Colchester,"Colchester,VT","Colchester,VT",Vermont,Lakers,9,0,0,0,2
7454,14288,Jericho,Jericho,"Jericho,NY","Jericho,NY",New York,Jayhawks,9,0,0,0,2
7455,8819,Morris Catholic,Morris Catholic,"Denville,NJ","Denville,NJ",New Jersey,Crusaders,9,0,0,0,2
7456,8726,West Feliciana,West Feliciana,"St. Francisville,LA","St. Francisville,LA",Louisiana,Saints,9,0,0,0,2
7457,2280,South Charleston,South Charleston,"South Charleston,WV","South Charleston,WV",West Virginia,Black Eagles,8,4,5,0,2
7458,2697,Florin,Florin,"Sacramento,CA","Sacramento,CA",California,Panthers,8,3,4,0,2
7459,11981,Princeton,Princeton,"Princeton,NC","Princeton,NC",North Carolina,Bulldogs,8,3,4,0,2
7460,15128,Sentinel,Sentinel,"Sentinel,OK","Sentinel,OK",Oklahoma,Bulldogs,8,3,4,0,2
7461,693,Beekmantown,Beekmantown,"West Chazy,NY","West Chazy,NY",New York,Eagles,8,2,4,0,2
7462,1300,Hoover,Hoover,"Clendenin,WV","Clendenin,WV",West Virginia,Huskies,8,2,4,0,2
7463,7476,Smith-Cotton,Smith-Cotton,"Sedalia,MO","Sedalia,MO",Missouri,Tigers,8,2,4,0,2
7464,1139,Maryvale,Maryvale,"Cheektowaga,NY","Cheektowaga,NY",New York,Pegasus,8,0,4,0,2
7465,13709,Mount Anthony,Mount Anthony,"Bennington,VT","Bennington,VT",Vermont,Patriots,8,0,4,0,2
7466,8538,Wilson,Wilson,"Sinking Springs,PA","Sinking Springs,PA",Pennsylvania,Bulldogs,8,3,3,0,2
7467,4536,Essex,Essex,"Tappahannock,VA","Tappahannock,VA",Virginia,Trojans,8,2,3,0,2
7468,12021,Littleton,Littleton,"Littleton,CO","Littleton,CO",Colorado,Lions,8,2,3,0,2
7469,7103,Ridgefield Park,Ridgefield Park,"Ridgefield Park,NJ","Ridgefield Park,NJ",New Jersey,Scarlets,8,2,3,0,2
7470,7956,Telfair County,Telfair County,"McRae,GA","McRae,GA",Georgia,Trojans,8,2,3,0,2
7471,8307,Watertown,Watertown,"Watertown,WI","Watertown,WI",Wisconsin,Goslings,8,1,3,0,2
7472,10577,Great Bend,Great Bend,"Great Bend,KS","Great Bend,KS",Kansas,Panthers,8,0,3,0,2
7473,9975,Travelers Rest,Travelers Rest,"Travelers Rest,SC","Travelers Rest,SC",South Carolina,Devildogs,8,0,3,0,2
7474,2944,Alexis I. duPont,Alexis I. duPont,"Greenville,DE","Greenville,DE",Delaware,Tigers,8,2,2,0,2
7475,3025,Alvirne,Alvirne,"Hudson,NH","Hudson,NH",New Hampshire,Broncos,8,2,2,0,2
7476,2134,Ottumwa,Ottumwa,"Ottumwa,IA","Ottumwa,IA",Iowa,Bulldogs,8,2,2,0,2
7477,1807,Smith,Smith,"Chesapeake,VA","Chesapeake,VA",Virginia,Tigers,8,2,2,0,2
7478,7748,St. Joseph,St. Joseph,"Madison,MS","Madison,MS",Mississippi,Bruins,8,2,2,0,2
7479,8633,Ysleta,Ysleta,"El Paso,TX","El Paso,TX",Texas,Indians,8,2,2,0,2
7480,9926,Bishop,Bishop,"Bishop,CA","Bishop,CA",California,Broncos,8,1,2,0,2
7481,5204,Holtville,Holtville,"Deatsville,AL","Deatsville,AL",Alabama,Bulldogs,8,1,2,0,2
7482,6649,Oak Ridge,Oak Ridge,"Oak Ridge,TN","Oak Ridge,TN",Tennessee,Wildcats,8,1,2,0,2
7483,1314,Stevens,Stevens,"Edison,NJ","Edison,NJ",New Jersey,Hawks,8,1,2,0,2
7484,7883,Sultana,Sultana,"Hesperia,CA","Hesperia,CA",California,Sultans,8,1,2,0,2
7485,9704,Biddeford,Biddeford,"Biddeford,ME","Biddeford,ME",Maine,Tigers,8,0,2,0,2
7486,11796,Dyersburg,Dyersburg,"Dyersburg,TN","Dyersburg,TN",Tennessee,Trojans,8,0,2,0,2
7487,11612,Hawken School,Hawken School,"Gates Mills,OH","Gates Mills,OH",Ohio,Hawks,8,0,2,0,2
7488,5137,Herscher,Herscher,"Herscher,IL","Herscher,IL",Illinois,Tigers,8,0,2,0,2
7489,6853,Peru,Peru,"Peru,NY","Peru,NY",New York,Indians,8,0,2,0,2
7490,8971,St. Monica,St. Monica,"Santa Monica,CA","Santa Monica,CA",California,Mariners,8,0,2,0,2
7491,9748,University,University,"Shaker Heights,OH","Shaker Heights,OH",Ohio,Preppers,8,0,2,0,2
7492,7942,Alief Taylor,Alief Taylor,"Houston,TX","Houston,TX",Texas,Lions,8,1,1,0,2
7493,3011,Alma,Alma,"Alma,MI","Alma,MI",Michigan,Panthers,8,1,1,0,2
7494,10421,Bourbon County,Bourbon County,"Paris,KY","Paris,KY",Kentucky,Colonels,8,1,1,0,2
7495,9489,Carter,Carter,"Knoxville,TN","Knoxville,TN",Tennessee,Hornets,8,1,1,0,2
7496,4303,Dover Bay,Dover Bay,"Nanaimo,BC","Nanaimo,BC",British Columbia,Dolphins,8,1,1,0,2
7497,4589,Father Lopez Catholic,Father Lopez Catholic,"Deltona,FL","Deltona,FL",Florida,Green Waves,8,1,1,0,2
7498,14502,Loyd Star Attendance Center,Loyd Star Attendance Center,"Lincoln,MS","Lincoln,MS",Mississippi,Hornets,8,1,1,0,2
7499,6218,Minersville,Minersville,"Minersville,PA","Minersville,PA",Pennsylvania,Battlin' Miners,8,1,1,0,2
7500,11405,Smithfield,Smithfield,"Smithfield,VA","Smithfield,VA",Virginia,Packers,8,1,1,0,2
7501,7777,St. Martin's Episcopal,St. Martin's Episcopal,"Metairie,LA","Metairie,LA",Louisiana,Saints,8,1,1,0,2
7502,9190,Sterling,Sterling,"Sterling,IL","Sterling,IL",Illinois,Golden Warriors,8,1,1,0,2
7503,13260,Fernley,Fernley,"Fernley,NV","Fernley,NV",Nevada,Vaqueros,8,0,1,0,2
7504,9840,Kapaa,Kapaa,"Kapaa,HI","Kapaa,HI",Hawaii,Warriors,8,0,1,0,2
7505,14773,Lakeland,Lakeland,"Jermyn,PA","Jermyn,PA",Pennsylvania,Chiefs,8,0,1,0,2
7506,10912,Lutheran Northwest,Lutheran Northwest,"Rochester Hills,MI","Rochester Hills,MI",Michigan,Crusaders,8,0,1,0,2
7507,10764,Pickens,Pickens,"Pickens,SC","Pickens,SC",South Carolina,Blue Flame,8,0,1,0,2
7508,14829,Pikeville,Pikeville,"Pikeville,KY","Pikeville,KY",Kentucky,Panthers,8,0,1,0,2
7509,13503,Riverdale Country School,Riverdale Country School,"New York,NY","New York,NY",New York,Falcons,8,0,1,0,2
7510,11047,Roy,Roy,"Roy,UT","Roy,UT",Utah,Royals,8,0,1,0,2
7511,12742,Rutherfordton-Spindale Central,Rutherfordton-Spindale Central,"Rutherfordton,NC","Rutherfordton,NC",North Carolina,Hilltoppers,8,0,1,0,2
7512,9928,South Dearborn,South Dearborn,"Aurora,IN","Aurora,IN",Indiana,Knights,8,0,1,0,2
7513,13754,The Prout School,The Prout School,"Wakefield,RI","Wakefield,RI",Rhode Island,Crusaders,8,0,1,0,2
7514,10789,West Lincoln,West Lincoln,"Lincolnton,NC","Lincolnton,NC",North Carolina,Rebels,8,0,1,0,2
7515,9228,Winters Mill,Winters Mill,"Westminster,MD","Westminster,MD",Maryland,Falcons,8,0,1,0,2
7516,11237,Basehor-Linwood,Basehor-Linwood,"Basehor,KS","Basehor,KS",Kansas,Bobcats,8,0,0,0,2
7517,9735,Berean Christian,Berean Christian,"Walnut Creek,CA","Walnut Creek,CA",California,Eagles,8,0,0,0,2
7518,11855,Canton,Canton,"Canton,IL","Canton,IL",Illinois,Little Giants,8,0,0,0,2
7519,13001,Dobbs Ferry,Dobbs Ferry,"Dobbs Ferry,NY","Dobbs Ferry,NY",New York,Eagles,8,0,0,0,2
7520,8939,Elbert County,Elbert County,"Elberton,GA","Elberton,GA",Georgia,Blue Devils,8,0,0,0,2
7521,11573,Fairfield,Fairfield,"Fairfield,CT","Fairfield,CT",Connecticut,-,8,0,0,0,2
7522,12799,Fort Dodge,Fort Dodge,"Fort Dodge,IA","Fort Dodge,IA",Iowa,Dodgers,8,0,0,0,2
7523,10595,Muscle Shoals,Muscle Shoals,"Muscle Shoals,AL","Muscle Shoals,AL",Alabama,Trojans,8,0,0,0,2
7524,11318,Northland Christian,Northland Christian,"Houston,TX","Houston,TX",Texas,Cougars,8,0,0,0,2
7525,14657,Prescott,Prescott,"Prescott,AR","Prescott,AR",Arkansas,Badgers,8,0,0,0,2
7526,11556,Trinity,Trinity,"Garfield Heights,OH","Garfield Heights,OH",Ohio,Trojans,8,0,0,0,2
7527,10816,Warren,Warren,"San Antonio,TX","San Antonio,TX",Texas,Warriors,8,0,0,0,2
7528,8461,Westside,Westside,"Macon,GA","Macon,GA",Georgia,Seminoles,8,0,0,0,2
7529,1131,Baker,Baker,"Baker City,OR","Baker City,OR",Oregon,Bulldogs,7,3,5,0,2
7530,3824,Chaminade,Chaminade,"Hollywood,FL","Hollywood,FL",Florida,-,7,3,5,0,2
7531,3030,American,American,"Fremont,CA","Fremont,CA",California,Eagles,7,2,5,0,2
7532,4197,Del Mar,Del Mar,"San Jose,CA","San Jose,CA",California,Dons,7,4,4,0,2
7533,9505,St. Paul's,St. Paul's,"St. Paul's,NC","St. Paul's,NC",North Carolina,Bulldogs,7,4,4,0,2
7534,5022,Hampton,Hampton,"Hampton,VA","Hampton,VA",Virginia,Crabbers,7,3,4,0,2
7535,6109,McLaurin,McLaurin,"Florence,MS","Florence,MS",Mississippi,Tigers,7,3,4,0,2
7536,7487,Snowflake,Snowflake,"Snowflake,AZ","Snowflake,AZ",Arizona,Lobos,7,3,4,0,2
7537,2836,Southland Academy,Southland Academy,"Americus,GA","Americus,GA",Georgia,Raiders,7,3,4,0,2
7538,8555,Winfield,Winfield,"Winfield,MO","Winfield,MO",Missouri,Warriors,7,3,4,0,2
7539,7625,Sperry,Sperry,"Sperry,OK","Sperry,OK",Oklahoma,Pirates,7,2,4,0,2
7540,4421,East Valley,East Valley,"Yakima,WA","Yakima,WA",Washington,Red Devils,7,3,3,0,2
7541,5786,Lincoln,Lincoln,"Ellwood City,PA","Ellwood City,PA",Pennsylvania,Wolverines,7,3,3,0,2
7542,7305,San Jacinto,San Jacinto,"San Jacinto,CA","San Jacinto,CA",California,Tigers,7,3,3,0,2
7543,3917,Citrus,Citrus,"Inverness,FL","Inverness,FL",Florida,Hurricanes,7,2,3,0,2
7544,4342,Dunmore,Dunmore,"Dunmore,PA","Dunmore,PA",Pennsylvania,Bucks,7,2,3,0,2
7545,4413,East Nicolaus,East Nicolaus,"Trowbridge,CA","Trowbridge,CA",California,Spartans,7,2,3,0,2
7546,2708,Pacific,Pacific,"Pacific,MO","Pacific,MO",Missouri,Indians,7,2,3,0,2
7547,9182,Skyline,Skyline,"Idaho Falls,ID","Idaho Falls,ID",Idaho,Grizzlies,7,2,3,0,2
7548,3054,Angola,Angola,"Angola,IN","Angola,IN",Indiana,Hornets,7,1,3,0,2
7549,17528,Caledonia,Caledonia,"Columbus,MS","Columbus,MS",Mississippi,Confederates,7,1,3,0,2
7550,4246,DeSoto County,DeSoto County,"Nocatee,FL","Nocatee,FL",Florida,Bulldogs,7,1,3,0,2
7551,2650,North Rowan,North Rowan,"Spencer,NC","Spencer,NC",North Carolina,Cavaliers,7,1,3,0,2
7552,9729,Robbinsdale Cooper,Robbinsdale Cooper,"New Hope,MN","New Hope,MN",Minnesota,Hawks,7,1,3,0,2
7553,10003,Greenwood,Greenwood,"Midland,TX","Midland,TX",Texas,Rangers,7,0,3,0,2
7554,12218,Manchester,Manchester,"New Franklin,OH","New Franklin,OH",Ohio,Panthers,7,0,3,0,2
7555,13267,McLoud,McLoud,"McLoud,OK","McLoud,OK",Oklahoma,Redskins,7,0,3,0,2
7556,10484,Ripon,Ripon,"Ripon,WI","Ripon,WI",Wisconsin,Tigers,7,0,3,0,2
7557,638,Callaway,Callaway,"Hogansville,GA","Hogansville,GA",Georgia,Cavaliers,7,2,2,0,2
7558,3709,Cedartown,Cedartown,"Cedartown,GA","Cedartown,GA",Georgia,Bulldogs,7,2,2,0,2
7559,12775,Gilbert,Gilbert,"Winsted,CT","Winsted,CT",Connecticut,Yellow Jackets,7,2,2,0,2
7560,4929,Great Falls,Great Falls,"Great Falls,MT","Great Falls,MT",Montana,Bison,7,2,2,0,2
7561,5774,Lima Senior,Lima Senior,"Lima,OH","Lima,OH",Ohio,Spartans,7,2,2,0,2
7562,5925,Maggie Walker,Maggie Walker,"Richmond,VA","Richmond,VA",Virginia,-,7,2,2,0,2
7563,7257,Russell,Russell,"Russell,KY","Russell,KY",Kentucky,Broncos,7,2,2,0,2
7564,8446,Westgate,Westgate,"New Iberia,LA","New Iberia,LA",Louisiana,Tigers,7,2,2,0,2
7565,9703,Portland,Portland,"Portland,CT","Portland,CT",Connecticut,Bulldogs,7,1,2,0,2
7566,7385,Sequim,Sequim,"Sequim,WA","Sequim,WA",Washington,Wolves,7,1,2,0,2
7567,8827,Belleview,Belleview,"Belleview,FL","Belleview,FL",Florida,Rattlers,7,0,2,0,2
7568,9756,Blaine,Blaine,"Blaine,WA","Blaine,WA",Washington,Borderites,7,0,2,0,2
7569,8792,Dr. Krop,Dr. Krop,"Miami,FL","Miami,FL",Florida,Lightning,7,0,2,0,2
7570,6023,Marshall,Marshall,"Marshall,IL","Marshall,IL",Illinois,Lions,7,0,2,0,2
7571,6731,Othello,Othello,"Othello,WA","Othello,WA",Washington,Huskies,7,0,2,0,2
7572,8651,Stilwell,Stilwell,"Stilwell,OK","Stilwell,OK",Oklahoma,Indians,7,0,2,0,2
7573,3234,Beardstown,Beardstown,"Beardstown,IL","Beardstown,IL",Illinois,Tigers,7,1,1,0,2
7574,18313,Gallatin,Gallatin,"Masontown,PA","Masontown,PA",Pennsylvania,Colonials,7,1,1,0,2
7575,5078,Haverling,Haverling,"Bath,NY","Bath,NY",New York,Rams,7,1,1,0,2
7576,6341,Mount Pleasant,Mount Pleasant,"Wilmington,DE","Wilmington,DE",Delaware,Green Knights,7,1,1,0,2
7577,10916,Notre Dame Prep,Notre Dame Prep,"Pontiac,MI","Pontiac,MI",Michigan,Fighting Irish,7,1,1,0,2
7578,12881,Ohio County,Ohio County,"Hartford,KY","Hartford,KY",Kentucky,Eagles,7,1,1,0,2
7579,12712,Parkers Chapel,Parkers Chapel,"El Dorado,AR","El Dorado,AR",Arkansas,Trojans,7,1,1,0,2
7580,6971,Poudre,Poudre,"Fort Collins,CO","Fort Collins,CO",Colorado,Impalas,7,1,1,0,2
7581,7315,Sandwich,Sandwich,"Sandwich,IL","Sandwich,IL",Illinois,Indians,7,1,1,0,2
7582,7666,St. Albert,St. Albert,"Bludes,IA","Bludes,IA",Iowa,-,7,1,1,0,2
7583,8663,Villa Angela St. Joseph,Villa Angela St. Joseph,"Cleveland,OH","Cleveland,OH",Ohio,Vikings,7,1,1,0,2
7584,9640,Weston,Weston,"Weston,MA","Weston,MA",Massachusetts,Wildcats,7,1,1,0,2
7585,12850,Cardinal Ritter,Cardinal Ritter,"Indianapolis,IN","Indianapolis,IN",Indiana,Raiders,7,0,1,0,2
7586,10832,Carle Place,Carle Place,"Carle Place,NY","Carle Place,NY",New York,Frogs,7,0,1,0,2
7587,3729,Center,Center,"Center,TX","Center,TX",Texas,Roughriders,7,0,1,0,2
7588,11206,Clarkson,Clarkson,"Mississauga,ON","Mississauga,ON",Ontario,Chargers,7,0,1,0,2
7589,13327,Corbin,Corbin,"Corbin,KY","Corbin,KY",Kentucky,Redhounds,7,0,1,0,2
7590,11571,Cushing,Cushing,"Cushing,OK","Cushing,OK",Oklahoma,Bearkats,7,0,1,0,2
7591,14720,Forestview,Forestview,"Gastonia,NC","Gastonia,NC",North Carolina,Jaguars,7,0,1,0,2
7592,10367,Friends Academy,Friends Academy,"Locust Valley,NY","Locust Valley,NY",New York,Quakers,7,0,1,0,2
7593,4885,Goshen,Goshen,"Goshen,IN","Goshen,IN",Indiana,Redskins,7,0,1,0,2
7594,9549,Harker,Harker,"San Jose,CA","San Jose,CA",California,Eagles,7,0,1,0,2
7595,13678,Independence,Independence,"Independence,KS","Independence,KS",Kansas,Bulldogs,7,0,1,0,2
7596,13142,North Laurel,North Laurel,"London,KY","London,KY",Kentucky,Jaguars,7,0,1,0,2
7597,11782,Pinckneyville,Pinckneyville,"Pinckneyville,IL","Pinckneyville,IL",Illinois,Panthers,7,0,1,0,2
7598,13979,Rye Neck,Rye Neck,"Rye,NY","Rye,NY",New York,Panthers,7,0,1,0,2
7599,11009,Seward,Seward,"Seward,NE","Seward,NE",Nebraska,Bluejays ,7,0,1,0,2
7600,14332,South Whidbey,South Whidbey,"Langley,WA","Langley,WA",Washington,Falcons,7,0,1,0,2
7601,16040,Squalicum,Squalicum,"Bellingham,WA","Bellingham,WA",Washington,Storm,7,0,1,0,2
7602,14089,Beal City,Beal City,"Mount Pleasant,MI","Mount Pleasant,MI",Michigan,Aggies,7,0,0,0,2
7603,12470,Collegiate,Collegiate,"New York,NY","New York,NY",New York,Dutchmen,7,0,0,0,2
7604,14897,First Assembly Christian School,First Assembly Christian School,"Cordova,TN","Cordova,TN",Tennessee,Crusaders,7,0,0,0,2
7605,10852,Harlingen South,Harlingen South,"Harlingen,TX","Harlingen,TX",Texas,Hawks,7,0,0,0,2
7606,5640,Lakewood,Lakewood,"Sumter,SC","Sumter,SC",South Carolina,Gators,7,0,0,0,2
7607,6433,New Castle,New Castle,"New Castle,PA","New Castle,PA",Pennsylvania,Hurricanes,7,0,0,0,2
7608,14704,New Hope-Solebury,New Hope-Solebury,"New Hope,PA","New Hope,PA",Pennsylvania,Lions,7,0,0,0,2
7609,14977,North Hopkins,North Hopkins,"Madisonville,KY","Madisonville,KY",Kentucky,Maroons,7,0,0,0,2
7610,13279,North Pike,North Pike,"Summit,MS","Summit,MS",Mississippi,Jaguars,7,0,0,0,2
7611,9684,Paradise,Paradise,"paradise,tx","paradise,tx",Texas,Panthers,7,0,0,0,2
7612,9772,Person County,Person County,"Roxboro,NC","Roxboro,NC",North Carolina,Rockets,7,0,0,0,2
7613,15136,Sandia Prep,Sandia Prep,"Albuquerque,NM","Albuquerque,NM",New Mexico,SunDevils,7,0,0,0,2
7614,9608,Silverton,Silverton,"Silverton,OR","Silverton,OR",Oregon,Foxes,7,0,0,0,2
7615,10277,St. Joseph's Catholic,St. Joseph's Catholic,"Greenville,SC","Greenville,SC",South Carolina,Knights,7,0,0,0,2
7616,13938,St. Thomas More,St. Thomas More,"Rapid City,SD","Rapid City,SD",South Dakota,Cavaliers,7,0,0,0,2
7617,13682,Triway,Triway,"Shreve,OH","Shreve,OH",Ohio,Titans,7,0,0,0,2
7618,11238,Valley Center,Valley Center,"Valley Center,CA","Valley Center,CA",California,Jaguars,7,0,0,0,2
7619,10823,Western Brown,Western Brown,"Felicity,OH","Felicity,OH",Ohio,Broncos,7,0,0,0,2
7620,6258,Monroe,Monroe,"New York,NY","New York,NY",New York,-,6,3,5,0,2
7621,5683,Latta,Latta,"Latta,SC","Latta,SC",South Carolina,Vikings,6,4,4,0,2
7622,5940,Mammoth,Mammoth,"Mammoth Lakes,CA","Mammoth Lakes,CA",California,Huskies,6,2,4,0,2
7623,8533,Willows,Willows,"Willows,CA","Willows,CA",California,Honkers,6,2,4,0,2
7624,5412,John Swett,John Swett,"Crockett,CA","Crockett,CA",California,Indians,6,3,3,0,2
7625,1670,East Montgomery,East Montgomery,"Biscoe,NC","Biscoe,NC",North Carolina,Eagles,6,2,3,0,2
7626,4991,Habersham Central,Habersham Central,"Cornelia,GA","Cornelia,GA",Georgia,Raiders,6,2,3,0,2
7627,13215,Tecumseh,Tecumseh,"Tecumseh,OK","Tecumseh,OK",Oklahoma,Savage,6,2,3,0,2
7628,7958,Tempe,Tempe,"Tempe,AZ","Tempe,AZ",Arizona,Buffaloes,6,2,3,0,2
7629,8637,Zane Trace,Zane Trace,"Chillicothe,OH","Chillicothe,OH",Ohio,Pioneers,6,2,3,0,2
7630,4666,Fort Ann,Fort Ann,"Comstock,NY","Comstock,NY",New York,Cardinals,6,1,3,0,2
7631,4809,George Washington,George Washington,"Chicago,IL","Chicago,IL",Illinois,Minutemen,6,1,3,0,2
7632,6281,Montrose,Montrose,"Montrose,CO","Montrose,CO",Colorado,Indians,6,1,3,0,2
7633,16342,Chavez,Chavez,"Laveen,AZ","Laveen,AZ",Arizona,Champions,6,2,2,0,2
7634,13049,East Union,East Union,"Blue Springs,MS","Blue Springs,MS",Mississippi,Urchins,6,2,2,0,2
7635,10171,Hudson,Hudson,"Hudson,FL","Hudson,FL",Florida,Cobras,6,2,2,0,2
7636,12015,Middletown,Middletown,"Red Bank,NJ","Red Bank,NJ",New Jersey,-,6,2,2,0,2
7637,6523,North Boone,North Boone,"Poplar Grove,IL","Poplar Grove,IL",Illinois,Vikings,6,2,2,0,2
7638,2537,Oyster River,Oyster River,"Durham,NH","Durham,NH",New Hampshire,Bobcats,6,2,2,0,2
7639,6772,Paragould,Paragould,"Paragould,AR","Paragould,AR",Arkansas,Rams,6,2,2,0,2
7640,7004,Purcell,Purcell,"Purcell,OK","Purcell,OK",Oklahoma,Dragons,6,2,2,0,2
7641,2893,Sandy,Sandy,"Sandy,OR","Sandy,OR",Oregon,Pioneers,6,2,2,0,2
7642,10679,University,University,"Johnson City,TN","Johnson City,TN",Tennessee,Bucs,6,2,2,0,2
7643,10707,Bunker Hill,Bunker Hill,"Claremont,NC","Claremont,NC",North Carolina,Bears,6,1,2,0,2
7644,5878,Lower Moreland,Lower Moreland,"Huntington Valley,PA","Huntington Valley,PA",Pennsylvania,Lions,6,1,2,0,2
7645,11496,Magee,Magee,"Magee,MS","Magee,MS",Mississippi,Trojans,6,1,2,0,2
7646,10999,Nebraska City,Nebraska City,"Nebraska City,NE","Nebraska City,NE",Nebraska,Pioneers,6,1,2,0,2
7647,6896,Piper,Piper,"Piper,KS","Piper,KS",Kansas,Pirates,6,1,2,0,2
7648,9719,Rancho Verde,Rancho Verde,"Moreno Valley,CA","Moreno Valley,CA",California,Mustangs,6,1,2,0,2
7649,7337,Saunders Secondary,Saunders Secondary,"London,ON","London,ON",Ontario,Sabres,6,1,2,0,2
7650,7471,Sleepy Hollow,Sleepy Hollow,"Tarrytown,NY","Tarrytown,NY",New York,Horsemen,6,1,2,0,2
7651,7693,St. Edmond,St. Edmond,"Vincent,IA","Vincent,IA",Iowa,Gaels,6,1,2,0,2
7652,8173,Vermillion Catholic,Vermillion Catholic,"Abbeville,LA","Abbeville,LA",Louisiana,Eagles,6,1,2,0,2
7653,11373,Winnfield,Winnfield,"Winnfield,LA","Winnfield,LA",Louisiana,Tigers,6,1,2,0,2
7654,17032,La Center,La Center,"La Center,WA","La Center,WA",Washington,Wildcats,6,0,2,0,2
7655,11706,South Hadley,South Hadley,"South Hadley,MA","South Hadley,MA",Massachusetts,Tigers,6,0,2,0,2
7656,12877,Stewardson-Strasburg,Stewardson-Strasburg,"Stewardson,IL","Stewardson,IL",Illinois,Comets,6,0,2,0,2
7657,13871,Villa Rica,Villa Rica,"Villa Rica,GA","Villa Rica,GA",Georgia,Wildcats,6,0,2,0,2
7658,13456,Worth County,Worth County,"Sylvester,GA","Sylvester,GA",Georgia,Rams,6,0,2,0,2
7659,11337,St. Joseph's Catholic,St. Joseph's Catholic,"St. Thomas,ON","St. Thomas,ON",Ontario,Rams,6,2,1,0,2
7660,4026,Columbus,Columbus,"Marshfield,WI","Marshfield,WI",Wisconsin,Dons,6,1,1,0,2
7661,10820,Edinburg North,Edinburg North,"Edinburg,TX","Edinburg,TX",Texas,Cougars,6,1,1,0,2
7662,4671,Fort Dale-South Butler AC,Fort Dale-South Butler AC,"Greenville,AL","Greenville,AL",Alabama,-,6,1,1,0,2
7663,4701,Fox,Fox,"Imperial,MO","Imperial,MO",Missouri,-,6,1,1,0,2
7664,4807,George Rogers Clark,George Rogers Clark,"Winchester,KY","Winchester,KY",Kentucky,Cardinals,6,1,1,0,2
7665,10058,La Joya,La Joya,"La Joya,TX","La Joya,TX",Texas,Coyotes,6,1,1,0,2
7666,5685,Laurel,Laurel,"New Castle,PA","New Castle,PA",Pennsylvania,Spartans,6,1,1,0,2
7667,16003,Lutheran,Lutheran,"Indianapolis,IN","Indianapolis,IN",Indiana,Saints,6,1,1,0,2
7668,13067,Norwayne,Norwayne,"Creston,OH","Creston,OH",Ohio,Bobcats,6,1,1,0,2
7669,839,Pinconning Area,Pinconning Area,"Pinconning,MI","Pinconning,MI",Michigan,Spartans,6,1,1,0,2
7670,10770,South Lenoir,South Lenoir,"Deep Run,NC","Deep Run,NC",North Carolina,Blue Devils,6,1,1,0,2
