yatstats overall rank everybody,hsid,hsname,hsname.1,location,city,regionname,nickname,alumni listed,Drafted from School,Total Draft Picks,Major Leaguers,Active Players 2024-2025
1563,3637,Carl Albert,Carl Albert,"Midwest City,OK","Midwest City,OK",Oklahoma,Titans,35,8,15,1,11
1564,8024,Toms River East,Toms River East,"Toms River,NJ","Toms River,NJ",New Jersey,Raiders,34,3,7,1,11
1565,6603,Northgate,Northgate,"Walnut Creek,CA","Walnut Creek,CA",California,Broncos,33,6,11,1,11
1566,3825,Chaminade College Prep School,Chaminade College Prep School,"St. Louis,MO","St. Louis,MO",Missouri,Flyers,33,2,7,1,11
1567,6849,Perrysburg,Perrysburg,"Perrysburg,OH","Perrysburg,OH",Ohio,Yellow Jackets,33,1,2,1,11
1568,10598,Olathe East,Olathe East,"Olathe,KS","Olathe,KS",Kansas,Hawks,32,0,2,1,11
1569,908,Belleville West,Belleville West,"Belleville,IL","Belleville,IL",Illinois,Maroons,31,1,5,1,11
1570,5939,Mamaroneck,Mamaroneck,"Mamaroneck,NY","Mamaroneck,NY",New York,Tigers,30,2,8,1,11
1571,4665,Forsyth Central,Forsyth Central,"Cumming,GA","Cumming,GA",Georgia,Bulldogs,30,2,5,1,11
1572,1849,Princeton,Princeton,"Princeton,NJ","Princeton,NJ",New Jersey,Tigers,30,0,5,1,11
1573,10869,Monroe Township,Monroe Township,"monroe,NJ","monroe,NJ",New Jersey,Falcons,29,1,4,1,11
1574,1223,Pendleton Heights,Pendleton Heights,"Pendleton,IN","Pendleton,IN",Indiana,Arabians,29,2,3,1,11
1575,8312,Watkins Memorial,Watkins Memorial,"Pataskala,OH","Pataskala,OH",Ohio,Warriors,28,2,9,1,11
1576,2757,Sparkman,Sparkman,"Harvest,AL","Harvest,AL",Alabama,Senators,27,2,7,1,11
1577,3550,Butler,Butler,"Vandalia,OH","Vandalia,OH",Ohio,Aviators,27,1,7,1,11
1578,11555,Champaign Central,Champaign Central,"Champaign,IL","Champaign,IL",Illinois,Maroons,26,0,7,1,11
1579,5149,Highland Regional,Highland Regional,"Blackwood,NJ","Blackwood,NJ",New Jersey,Tartans,26,2,5,1,11
1580,6682,Olathe North,Olathe North,"Olathe,KS","Olathe,KS",Kansas,Eagles,26,0,5,1,11
1581,14037,La Salle,La Salle,"Pasadena,CA","Pasadena,CA",California,Lancers,25,0,5,1,11
1582,9112,Sandra Day O'Connor,Sandra Day O'Connor,"Helotes,TX","Helotes,TX",Texas,Panthers,25,2,4,1,11
1583,2214,Sheldon,Sheldon,"Sacramento,CA","Sacramento,CA",California,Huskies,25,2,4,1,11
1584,9685,Stone Bridge,Stone Bridge,"Ashburn,VA","Ashburn,VA",Virginia,Bulldogs,25,1,3,1,11
1585,10621,Montini Catholic,Montini Catholic,"Lombard,IL","Lombard,IL",Illinois,Broncos,25,0,3,1,11
1586,1510,Santa Clara,Santa Clara,"Santa Clara,CA","Santa Clara,CA",California,Bruins,24,5,9,1,11
1587,4748,Freedom,Freedom,"Oakley,CA","Oakley,CA",California,Falcons,24,2,3,1,11
1588,4488,Elkhorn,Elkhorn,"Elkhorn,NE","Elkhorn,NE",Nebraska,Antlers,24,0,3,1,11
1589,13378,East Longmeadow,East Longmeadow,"East Longmeadow,MA","East Longmeadow,MA",Massachusetts,Spartans,23,2,7,1,11
1590,7889,Superior,Superior,"Superior,WI","Superior,WI",Wisconsin,Spartans,23,3,3,1,11
1591,1045,Altoona Area,Altoona Area,"Altoona,PA","Altoona,PA",Pennsylvania,Mountain Lions,23,1,3,1,11
1592,1796,Troy,Troy,"Troy,OH","Troy,OH",Ohio,Trojans,23,0,1,1,11
