hsid,hsname,hslocation,cityname,regionname,regionid,nickname,color1,color2,color3
11924,Monroe,"Washington,DC",Washington,District of Columbia,DC,-,-,-,
11925,Booker T. Washington,"Atlanta,GA",Atlanta,Georgia,GA,Bulldogs,blue,white,
11926,Winfield,"Winfield,KS",Winfield,Kansas,KS,Vikings,blue,white,
11927,South Christian,"Grand Rapids,MI",Grand Rapids,Michigan,MI,Sailors,navy,white,
11928,McKeel Academy,"Lakeland,FL",Lakeland,Florida,FL,Wildcats,#355E3B,navy,white
11929,Bayou Academy,"Cleveland,MS",Cleveland,Mississippi,MS,Colts,,,
11930,Rock Springs,"Denver,NC",Denver,North Carolina,NC,-,,,
11931,St. Ludger's,"Creighton,NE",Creighton,Nebraska,NE,-,,,
11932,Providence,"Providence,RI",Providence,Rhode Island,RI,-,,,
11934,Athens,"Athens,AL",Athens,Alabama,AL,Golden Eagles,black,CFB53B,
11935,Southside,"New York,NY",New York,New York,NY,-,,,
11936,Eastern,"Washington,DC",Washington,District of Columbia,DC,Ramblers,blue,white,
11937,Malden Catholic,"Malden,MA",Malden,Massachusetts,MA,Lancers,,,
11938,Irving,"Tarrytown,NY",Tarrytown,New York,NY,-,-,-,
11939,Edmunds,"Edmunds,VT",Edmunds,Vermont,VT,-,-,-,
11940,Newburg,"Newburg,IA",Newburg,Iowa,IA,-,,,
11941,Page County,"Shenandoah,VA",Shenandoah,Virginia,VA,Panthers,75B2DD,white,
11942,Alberta,"Alberta,VA",Alberta,Virginia,VA,-,-,-,
11943,Adelphi Academy,"Brooklyn,NY",Brooklyn,New York,NY,Panthers,brown,gold,
11944,Coburn,"Waterville,ME",Waterville,Maine,ME,-,-,-,
11947,Reeths-Puffer,"Muskegon,MI",Muskegon,Michigan,MI,Rockets,green,white,
11948,Sacred Heart,"Mount Pleasant,MI",Mount Pleasant,Michigan,MI,Fighting Irish,,,
11949,Hemlock,"Hemlock,MI",Hemlock,Michigan,MI,Huskies,,,
11950,North Branch,"North Branch,MI",North Branch,Michigan,MI,Broncos,,,
11951,Valley Lutheran,"Saginaw,MI",Saginaw,Michigan,MI,Chargers,,,
11952,South Lyon,"South Lyons,MI",South Lyons,Michigan,MI,Lions,,,
11953,Ashmore,"Ashmore,IL",Ashmore,Illinois,IL,-,-,-,
11954,Newport,"Newport,PA",Newport,Pennsylvania,PA,Buffaloes,,,
11955,Wyandotte,"Detroit,MI",Detroit,Michigan,MI,-,,,
11957,Washington,"Tampa,FL",Tampa,Florida,FL,-,,,
11958,High Point,"High Point,NC",High Point,North Carolina,NC,Cougars,,,
11959,Lodi,"Lodi,NJ",Lodi,New Jersey,NJ,Rams,,,
11960,Newburyport,"Newburyport,MA",Newburyport,Massachusetts,MA,Clippers,,,
11961,Granite Falls,"Granite Falls,NC",Granite Falls,North Carolina,NC,-,-,-,
11963,Polytechnic,"Los Angeles,CA",Los Angeles,California,CA,-,,,
11965,Gastonia,"Gastonia,NC",Gastonia,North Carolina,NC,-,-,-,
11966,Gulf Coast Military Academy,"Gulfport,MS",Gulfport,Mississippi,MS,-,-,-,
11967,Valley Regional,"Deep River,CT",Deep River,Connecticut,CT,Warriors ,red,black,
11969,Prairie,"Greencreek,ID",Greencreek,Idaho,ID,Pirates,,,
11970,Verndale,"Verndale,MN",Verndale,Minnesota,MN,Pirates,green,white,black
11971,St. Thomas More,"Rapid City,SD",Rapid City,South Dakota,SD,Cavaliers,2366,white,blue
11972,Mitchell,"Mitchell,SD",Mitchell,South Dakota,SD,Kernels,,,
11973,Flandreau Public,"Flandreau,SD",Flandreau,South Dakota,SD,-,-,-,
11974,Oak Ridge Military Academy,"Oak Ridge,NC",Oak Ridge,North Carolina,NC,-,,,
11975,Spaulding,"Spaulding,OK",Spaulding,Oklahoma,OK,-,-,-,
11977,Rudolph,"Rudolph,WI",Rudolph,Wisconsin,WI,-,-,-,
11978,Port Washington,"Port Washington,WI",Port Washington,Wisconsin,WI,Pirates,,,
11979,Uniontown,"Uniontown,KS",Uniontown,Kansas,KS,Eagles,,,
11980,Springfield,"Springfield,KY",Springfield,Kentucky,KY,-,,,
11981,Princeton,"Princeton,MO",Princeton,Missouri,MO,Tigers,blue,white,
11982,Roslyn,"Roslyn Heights,NY",Roslyn Heights,New York,NY,Bulldogs,,,
11983,Ontonagon,"Ontonagon,MI",Ontonagon,Michigan,MI,Gladiators,,,
11984,BOLD,"Olivia,MN",Olivia,Minnesota,MN,Warriors,silver,red,
11985,Darby,"Darby,PA",Darby,Pennsylvania,PA,-,-,-,
11986,Swoyersville,"Swoyersville,PA",Swoyersville,Pennsylvania,PA,-,,,
11987,Dunbar,"Little Rock,AR",Little Rock,Arkansas,AR,-,-,-,
11988,Hardeeville,"Hardeeville,SC",Hardeeville,South Carolina,SC,-,-,-,
11989,Cazenovia,"Cazenovia,WI",Cazenovia,Wisconsin,WI,Silver Eagles,-,-,
11990,Huntington,"Newport News,VA",Newport News,Virginia,VA,-,-,-,
11991,Rosedale,"Rosedale,OK",Rosedale,Oklahoma,OK,-,-,-,
11992,Black River,"Ludlow,VT",Ludlow,Vermont,VT,Presidents,,,
11993,Camden,"Camden,OH",Camden,Ohio,OH,-,-,-,
11995,Glidden-Ralston,"Glidden,IA",Glidden,Iowa,IA,Wildcats,blue,gold,
11996,Averill Park,"Sand Lake,NY",Sand Lake,New York,NY,Warriors,blue,gold,
11997,Roosevelt,"Oakland,CA",Oakland,California,CA,-,,,
11998,Moneta,"Moneta,IA",Moneta,Iowa,IA,-,-,-,
11999,Montgomery,"Montgomery,PA",Montgomery,Pennsylvania,PA,Red Raiders,red,black,
12000,St. Mary's,"Brookline,MA",Brookline,Massachusetts,MA,-,,,
12001,Rockport,"Rockport,MA",Rockport,Massachusetts,MA,Vikings,maroon,gray,
12002,Wareham,"Wareham,MA",Wareham,Massachusetts,MA,Vikings,blue,yellow,
12003,St. Margaret McTernan,"Waterbury,CT",Waterbury,Connecticut,CT,Highlanders,,,
12004,Goshen,"Goshen,OH",Goshen,Ohio,OH,Warriors,#FF2400,#808080,
12005,Everly,"Everly,IA",Everly,Iowa,IA,-,-,-,
12006,Central Columbus,"Columbus,IN",Columbus,Indiana,IN,-,-,-,
12007,Van Meter,"Van Meter,IA",Van Meter,Iowa,IA,Bulldogs,,,
12008,Guilford,"Guilford,NC",Guilford,North Carolina,NC,-,-,-,
12009,St. Ignatius Loyola,"New York,NY",New York,New York,NY,-,,,
12010,Five Points,"Five Points,AL",Five Points,Alabama,AL,-,-,-,
12012,Alcee Fortier,"New Orleans,LA",New Orleans,Louisiana,LA,-,-,-,
12013,Coon,"Wilson,NC",Wilson,North Carolina,NC,-,-,-,
12014,Richland,"Richland,NJ",Richland,New Jersey,NJ,-,-,-,
12015,Middletown,"Middletown,CT",Middletown,Connecticut,CT,Blue Dragons,,,
12016,Abington Friends,"Abington,PA",Abington,Pennsylvania,PA,Kangaroos,navy,white,
12017,Sudlersville,"Sudlersville,MD",Sudlersville,Maryland,MD,-,,,
12018,Technical,"Scranton,PA",Scranton,Pennsylvania,PA,Red Raiders,red,black,white
12019,Visalia,"Visalia,CA",Visalia,California,CA,-,,,
12020,Fleming County,"Flemingsburg,KY",Flemingsburg,Kentucky,KY,Panthers,,,
12021,Littleton,"Littleton,NH",Littleton,New Hampshire,NH,Crusaders,,,
12022,Doylestown,"Doylestown,OH",Doylestown,Ohio,OH,-,-,-,
12023,Bay View,"Milwaukee,WI",Milwaukee,Wisconsin,WI,Redcats,#FF2400,black,
12024,Carver,"Montgomery,AL",Montgomery,Alabama,AL,Wolverines,green,gold,
12025,Easthampton,"Easthampton,MA",Easthampton,Massachusetts,MA,Eagles,,,
12026,Country day,"New Orleans,LA",New Orleans,Louisiana,LA,-,-,-,
12027,Edgewood,"Pittsburgh,PA",Pittsburgh,Pennsylvania,PA,-,-,-,
12030,Judge Memorial Catholic,"Salt Lake City,UT",Salt Lake City,Utah,UT,Bulldogs,red,gold,
12031,Lamberton,"Lamberton,MN",Lamberton,Minnesota,MN,-,,,
12032,Yardley,"Yardley,PA",Yardley,Pennsylvania,PA,-,,,
12033,Denham,"Denham,MN",Denham,Minnesota,MN,-,-,-,
12034,Lansing Catholic Central,"Lansing,MI",Lansing,Michigan,MI,Cougars,,,
12037,Jefferson,"Jefferson,OR",Jefferson,Oregon,OR,Lions,purple,gold,
12038,Northern Highlands,"Allendale,NJ",Allendale,New Jersey,NJ,Highlanders,,,
12039,Winecoff,"Concord,NC",Concord,North Carolina,NC,-,-,-,
12040,Gordonsville,"Gordonsville,VA",Gordonsville,Virginia,VA,-,-,-,
12041,Salem,"Salem,NJ",Salem,New Jersey,NJ,Rams,,,
12042,Columbus North,"Columbus,OH",Columbus,Ohio,OH,-,-,-,
12043,Phoenix Union,"Phoenix,AZ",Phoenix,Arizona,AZ,Coyotes,,,
12044,Huntington,"Huntington,MA",Huntington,Massachusetts,MA,-,-,-,
12045,Moore Academy,"Dade City,FL",Dade City,Florida,FL,-,,,
12047,Addison,"Addison,NY",Addison,New York,NY,Knights,maroon,gray,
12048,Moosic,"Moosic,PA",Moosic,Pennsylvania,PA,-,,,
12049,Woodlands,"Nanaimo,BC",Nanaimo,British Columbia,BC,-,,,
12050,English,"Boston,MA",Boston,Massachusetts,MA,Blue and Blue,,,
12051,South Haven,"South Haven,MI",South Haven,Michigan,MI,Rams,,,
12052,Birdsboro,"Birdsboro,PA",Birdsboro,Pennsylvania,PA,-,-,-,
